chromosome	nSites	nMatches	percentMatches	accByChance	individual_iteration	coverage	nFounders	Ne	mu	population_iteration	population
3L	829956	829956	1	0.841898271952781	9	0.05X	32	NA	NA	5	dgrp
3R	846578	846561	0.999979919156888	0.837766925409154	9	0.05X	32	NA	NA	5	dgrp
X	493129	492630	0.998988094393151	0.832311583229919	9	0.05X	32	NA	NA	5	dgrp
2L	880451	880319	0.999850076835622	0.825880886656498	10	0.05X	32	NA	NA	5	dgrp
2R	714436	714318	0.999834834750768	0.828285631469993	10	0.05X	32	NA	NA	5	dgrp
3L	832755	832368	0.999535277482573	0.83686137542872	10	0.05X	32	NA	NA	5	dgrp
3R	856513	856413	0.999883247539734	0.835344704781317	10	0.05X	32	NA	NA	5	dgrp
X	493011	0	0	0.831447897895214	10	0.05X	32	NA	NA	5	dgrp
2L	863500	863189	0.999639837869137	0.82973090538323	1	0.05X	32	NA	NA	6	dgrp
2R	694723	694392	0.999523551113177	0.833866584545188	1	0.05X	32	NA	NA	6	dgrp
3L	841270	841122	0.999824075504891	0.836248830345887	1	0.05X	32	NA	NA	6	dgrp
3R	815151	815013	0.999830706212714	0.844066781846191	1	0.05X	32	NA	NA	6	dgrp
X	483438	483214	0.999536652062933	0.833761014499865	1	0.05X	32	NA	NA	6	dgrp
2L	863173	863029	0.999833173651168	0.829694070536901	2	0.05X	32	NA	NA	6	dgrp
2R	701437	701314	0.99982464569163	0.832211034970581	2	0.05X	32	NA	NA	6	dgrp
3L	845619	845573	0.999945601979142	0.836075357334873	2	0.05X	32	NA	NA	6	dgrp
3R	844572	844556	0.999981055493197	0.838576626308959	2	0.05X	32	NA	NA	6	dgrp
X	486672	486577	0.999804796659763	0.833303314465522	2	0.05X	32	NA	NA	6	dgrp
2L	829738	829353	0.999535998110247	0.837301655317691	3	0.05X	32	NA	NA	6	dgrp
2R	681640	681078	0.99917551786867	0.835728553731781	3	0.05X	32	NA	NA	6	dgrp
3L	844950	844576	0.999557370258595	0.835912803469994	3	0.05X	32	NA	NA	6	dgrp
3R	847603	847504	0.999883200035866	0.838803729608013	3	0.05X	32	NA	NA	6	dgrp
X	476688	431192	0.904558117678649	0.833461134953574	3	0.05X	32	NA	NA	6	dgrp
2L	862339	862339	1	0.830016307570687	4	0.05X	32	NA	NA	6	dgrp
2R	699378	699378	1	0.831434448410991	4	0.05X	32	NA	NA	6	dgrp
3L	840311	839641	0.999202676152044	0.83695944220826	4	0.05X	32	NA	NA	6	dgrp
3R	844283	843898	0.999543991765794	0.838302038643237	4	0.05X	32	NA	NA	6	dgrp
X	478967	478762	0.999571995565457	0.833928762181273	4	0.05X	32	NA	NA	6	dgrp
2L	844357	839471	0.994213348145394	0.831356985577386	5	0.05X	32	NA	NA	6	dgrp
2R	687070	684036	0.995584147175688	0.836150564550936	5	0.05X	32	NA	NA	6	dgrp
3L	850635	850598	0.999956503082991	0.836234234821594	5	0.05X	32	NA	NA	6	dgrp
3R	827423	827312	0.999865848544215	0.842853289250862	5	0.05X	32	NA	NA	6	dgrp
X	497134	496316	0.998354568385988	0.832188782345263	5	0.05X	32	NA	NA	6	dgrp
2L	844681	843814	0.998973577007178	0.831028219607412	6	0.05X	32	NA	NA	6	dgrp
2R	696327	696240	0.999875058700869	0.831717488827639	6	0.05X	32	NA	NA	6	dgrp
3L	863318	863146	0.999800768662301	0.833971691482484	6	0.05X	32	NA	NA	6	dgrp
3R	850959	850871	0.999896587262136	0.837500507453048	6	0.05X	32	NA	NA	6	dgrp
X	495302	0	0	0.83256522911585	6	0.05X	32	NA	NA	6	dgrp
2L	845902	844850	0.998756357119383	0.832339293700633	7	0.05X	32	NA	NA	6	dgrp
2R	699658	699445	0.999695565547739	0.83252938992918	7	0.05X	32	NA	NA	6	dgrp
3L	834100	833902	0.99976261839108	0.838359557346148	7	0.05X	32	NA	NA	6	dgrp
3R	833971	833903	0.999918462392577	0.84006522908287	7	0.05X	32	NA	NA	6	dgrp
X	486656	0	0	0.833321593259112	7	0.05X	32	NA	NA	6	dgrp
2L	880760	880139	0.999294927108406	0.827626154798222	8	0.05X	32	NA	NA	6	dgrp
2R	695636	693430	0.996828801269629	0.834931322974244	8	0.05X	32	NA	NA	6	dgrp
3L	863470	863245	0.999739423488946	0.833848534244206	8	0.05X	32	NA	NA	6	dgrp
3R	864740	864311	0.999503897125147	0.835535607041567	8	0.05X	32	NA	NA	6	dgrp
X	500798	500722	0.99984824220544	0.831557450557061	8	0.05X	32	NA	NA	6	dgrp
2L	858777	858071	0.999177900665714	0.829784109364232	9	0.05X	32	NA	NA	6	dgrp
2R	698499	691155	0.989486026465321	0.832933757160664	9	0.05X	32	NA	NA	6	dgrp
3L	853416	853215	0.999764475941393	0.836064981783298	9	0.05X	32	NA	NA	6	dgrp
3R	847920	847895	0.999970516086423	0.839090950205355	9	0.05X	32	NA	NA	6	dgrp
X	500628	0	0	0.831124981777605	9	0.05X	32	NA	NA	6	dgrp
2L	866205	865713	0.999432005125807	0.829717948795662	10	0.05X	32	NA	NA	6	dgrp
2R	707232	706887	0.999512182706665	0.831076078175602	10	0.05X	32	NA	NA	6	dgrp
3L	828188	828185	0.999996377634064	0.837042321042941	10	0.05X	32	NA	NA	6	dgrp
3R	845087	845056	0.999963317386257	0.838858102907293	10	0.05X	32	NA	NA	6	dgrp
X	484343	0	0	0.832535560033743	10	0.05X	32	NA	NA	6	dgrp
2L	846707	846707	1	0.824201144974143	1	0.05X	32	NA	NA	7	dgrp
2R	695394	695370	0.999965487191434	0.833667352862607	1	0.05X	32	NA	NA	7	dgrp
3L	820865	820702	0.999801428980405	0.839802625217177	1	0.05X	32	NA	NA	7	dgrp
3R	802923	802923	1	0.842821832474843	1	0.05X	32	NA	NA	7	dgrp
X	491444	491444	1	0.83305199703604	1	0.05X	32	NA	NA	7	dgrp
2L	865235	863979	0.998548371251741	0.823393863129984	2	0.05X	32	NA	NA	7	dgrp
2R	702694	702694	1	0.833360038239585	2	0.05X	32	NA	NA	7	dgrp
3L	834850	834850	1	0.837910032300135	2	0.05X	32	NA	NA	7	dgrp
3R	839983	839850	0.999841663462237	0.834612004030626	2	0.05X	32	NA	NA	7	dgrp
X	488618	0	0	0.834923490508784	2	0.05X	32	NA	NA	7	dgrp
2L	843792	843145	0.999233223353623	0.823734298762051	3	0.05X	32	NA	NA	7	dgrp
2R	692994	692946	0.999930735331042	0.833239067955071	3	0.05X	32	NA	NA	7	dgrp
3L	830077	829872	0.999753034959407	0.838111609312109	3	0.05X	32	NA	NA	7	dgrp
3R	827581	827581	1	0.835755272359187	3	0.05X	32	NA	NA	7	dgrp
X	501425	501241	0.999633045819415	0.831911819920559	3	0.05X	32	NA	NA	7	dgrp
2L	858638	858638	1	0.822835022122088	4	0.05X	32	NA	NA	7	dgrp
2R	693886	693686	0.999711768215528	0.834844147096447	4	0.05X	32	NA	NA	7	dgrp
3L	849993	849139	0.99899528584353	0.836847817853318	4	0.05X	32	NA	NA	7	dgrp
3R	845944	842963	0.996476126079268	0.835511572736846	4	0.05X	32	NA	NA	7	dgrp
X	483974	0	0	0.836169086245453	4	0.05X	32	NA	NA	7	dgrp
2L	829681	828715	0.99883569709322	0.827447438866919	5	0.05X	32	NA	NA	7	dgrp
2R	681388	680770	0.999093027760982	0.835914113161699	5	0.05X	32	NA	NA	7	dgrp
3L	862510	862510	1	0.835788051396881	5	0.05X	32	NA	NA	7	dgrp
3R	851819	851648	0.999799253127718	0.834482541893571	5	0.05X	32	NA	NA	7	dgrp
X	501625	501317	0.999385995514578	0.832110534459403	5	0.05X	32	NA	NA	7	dgrp
2L	834973	834514	0.999450281625873	0.824713590916116	6	0.05X	32	NA	NA	7	dgrp
2R	693630	693350	0.999596326571803	0.833775269487328	6	0.05X	32	NA	NA	7	dgrp
3L	858798	858675	0.999856776564454	0.836273786388418	6	0.05X	32	NA	NA	7	dgrp
3R	851840	851732	0.999873215627348	0.834166766283729	6	0.05X	32	NA	NA	7	dgrp
X	494735	0	0	0.833643181711873	6	0.05X	32	NA	NA	7	dgrp
2L	828085	828085	1	0.824702490478608	7	0.05X	32	NA	NA	7	dgrp
2R	686364	686294	0.999898013299066	0.834032323052626	7	0.05X	32	NA	NA	7	dgrp
3L	845296	845294	0.999997633964907	0.83860660369199	7	0.05X	32	NA	NA	7	dgrp
3R	817509	817306	0.999751684690933	0.84113177278627	7	0.05X	32	NA	NA	7	dgrp
X	491415	491385	0.999938951802448	0.835830849824819	7	0.05X	32	NA	NA	7	dgrp
2L	854906	790535	0.924704002545309	0.823010320058566	8	0.05X	32	NA	NA	7	dgrp
2R	706733	703546	0.995490517635373	0.831948390576047	8	0.05X	32	NA	NA	7	dgrp
3L	858075	821848	0.957781079742447	0.835338509618739	8	0.05X	32	NA	NA	7	dgrp
3R	827214	826803	0.999503151542406	0.837906924394439	8	0.05X	32	NA	NA	7	dgrp
X	474712	0	0	0.835342647529388	8	0.05X	32	NA	NA	7	dgrp
2L	867638	867455	0.999789082543642	0.821529755416015	9	0.05X	32	NA	NA	7	dgrp
2R	708706	708221	0.999315654164068	0.831346595246164	9	0.05X	32	NA	NA	7	dgrp
3L	832872	829672	0.996157872998492	0.83844964160415	9	0.05X	32	NA	NA	7	dgrp
3R	836894	834319	0.996923146778445	0.835204081378961	9	0.05X	32	NA	NA	7	dgrp
X	487092	486857	0.999517544940176	0.836015035747258	9	0.05X	32	NA	NA	7	dgrp
2L	855948	855729	0.99974414333581	0.823050189505906	10	0.05X	32	NA	NA	7	dgrp
2R	699120	698419	0.998997310905138	0.832603097973869	10	0.05X	32	NA	NA	7	dgrp
3L	850879	850089	0.999071548363516	0.836396938613079	10	0.05X	32	NA	NA	7	dgrp
3R	846493	846450	0.999949202178872	0.835111972720651	10	0.05X	32	NA	NA	7	dgrp
X	491750	490587	0.997634977122522	0.83445671029857	10	0.05X	32	NA	NA	7	dgrp
2L	859231	858632	0.999302865003707	0.827467467252789	1	0.05X	32	NA	NA	8	dgrp
2R	704715	704380	0.999524630524396	0.831343740889823	1	0.05X	32	NA	NA	8	dgrp
3L	862059	861834	0.999738996982805	0.835318557875922	1	0.05X	32	NA	NA	8	dgrp
3R	855458	855197	0.999694900275642	0.836017563943513	1	0.05X	32	NA	NA	8	dgrp
X	485719	485448	0.999442064238788	0.834878455099024	1	0.05X	32	NA	NA	8	dgrp
2L	874144	872567	0.998195949408793	0.826281825522885	2	0.05X	32	NA	NA	8	dgrp
2R	701958	701884	0.999894580587443	0.832002462890277	2	0.05X	32	NA	NA	8	dgrp
3L	841265	841195	0.999916791973992	0.837478701891491	2	0.05X	32	NA	NA	8	dgrp
3R	833386	833259	0.999847609631071	0.837259693828828	2	0.05X	32	NA	NA	8	dgrp
X	485761	484727	0.997871381193632	0.835930851738823	2	0.05X	32	NA	NA	8	dgrp
2L	866667	866492	0.99979807700074	0.827272517722419	3	0.05X	32	NA	NA	8	dgrp
2R	698887	698528	0.999486326115667	0.834216743470533	3	0.05X	32	NA	NA	8	dgrp
3L	836234	836098	0.999837366096093	0.841168359765253	3	0.05X	32	NA	NA	8	dgrp
3R	842077	841999	0.999907371891169	0.838742218018599	3	0.05X	32	NA	NA	8	dgrp
X	490168	0	0	0.833930631062896	3	0.05X	32	NA	NA	8	dgrp
2L	863795	863079	0.999171099624332	0.826491968052933	4	0.05X	32	NA	NA	8	dgrp
2R	715320	714645	0.99905636638148	0.829805991104141	4	0.05X	32	NA	NA	8	dgrp
3L	861000	860775	0.999738675958188	0.835874324169628	4	0.05X	32	NA	NA	8	dgrp
3R	856586	856586	1	0.835993796706487	4	0.05X	32	NA	NA	8	dgrp
X	488687	0	0	0.834184160180356	4	0.05X	32	NA	NA	8	dgrp
2L	854996	854950	0.999946198578707	0.830211471553654	5	0.05X	32	NA	NA	8	dgrp
2R	694236	693510	0.998954246106511	0.835087483984298	5	0.05X	32	NA	NA	8	dgrp
3L	865391	865391	1	0.834738131015581	5	0.05X	32	NA	NA	8	dgrp
3R	856369	856369	1	0.834640618968734	5	0.05X	32	NA	NA	8	dgrp
X	485738	485668	0.99985588938893	0.83368162969773	5	0.05X	32	NA	NA	8	dgrp
2L	881226	877500	0.995771799742631	0.825524024352225	6	0.05X	32	NA	NA	8	dgrp
2R	714363	713844	0.999273478609614	0.830022633993343	6	0.05X	32	NA	NA	8	dgrp
3L	854932	854450	0.999436212470699	0.836149908094558	6	0.05X	32	NA	NA	8	dgrp
3R	852940	852873	0.999921448167515	0.83654155613804	6	0.05X	32	NA	NA	8	dgrp
X	487973	483436	0.990702354433544	0.833597166946128	6	0.05X	32	NA	NA	8	dgrp
2L	872429	872277	0.999825773787896	0.826880271072981	7	0.05X	32	NA	NA	8	dgrp
2R	715172	646109	0.903431622043369	0.830523440151119	7	0.05X	32	NA	NA	8	dgrp
3L	854847	854713	0.999843246803229	0.836287908742976	7	0.05X	32	NA	NA	8	dgrp
3R	854035	853603	0.999494165929968	0.836337013569081	7	0.05X	32	NA	NA	8	dgrp
X	493774	0	0	0.83292614050881	7	0.05X	32	NA	NA	8	dgrp
2L	859968	859904	0.999925578626181	0.827130643456765	8	0.05X	32	NA	NA	8	dgrp
2R	707701	707134	0.999198814188478	0.830599442829812	8	0.05X	32	NA	NA	8	dgrp
3L	848042	847141	0.998937552621215	0.836419424546767	8	0.05X	32	NA	NA	8	dgrp
3R	840834	840694	0.999833498645393	0.836944937958036	8	0.05X	32	NA	NA	8	dgrp
X	500550	0	0	0.831607069127641	8	0.05X	32	NA	NA	8	dgrp
2L	854115	852729	0.998377267698144	0.82970450937751	9	0.05X	32	NA	NA	8	dgrp
2R	593457	550903	0.928294720594752	0.858750229363981	9	0.05X	32	NA	NA	8	dgrp
3L	849704	848642	0.998750152994455	0.836726699498359	9	0.05X	32	NA	NA	8	dgrp
3R	854402	854332	0.999918071352829	0.836186793790443	9	0.05X	32	NA	NA	8	dgrp
X	490244	490143	0.999793980140501	0.832774642937304	9	0.05X	32	NA	NA	8	dgrp
2L	856581	856388	0.99977468563977	0.830408694495278	10	0.05X	32	NA	NA	8	dgrp
2R	695919	695093	0.998813080257904	0.835194599328243	10	0.05X	32	NA	NA	8	dgrp
3L	852621	852599	0.999974197210718	0.836972851330668	10	0.05X	32	NA	NA	8	dgrp
3R	849290	849077	0.999749202274841	0.837288119684167	10	0.05X	32	NA	NA	8	dgrp
X	491654	0	0	0.833033043443209	10	0.05X	32	NA	NA	8	dgrp
2L	870094	868762	0.998469130921487	0.821032645536592	1	0.05X	32	NA	NA	9	dgrp
2R	706912	706573	0.999520449504323	0.82909725970176	1	0.05X	32	NA	NA	9	dgrp
3L	855635	852583	0.996433058488725	0.835316839004924	1	0.05X	32	NA	NA	9	dgrp
3R	852683	852164	0.999391333004176	0.837771542561272	1	0.05X	32	NA	NA	9	dgrp
X	497968	0	0	0.830043165212444	1	0.05X	32	NA	NA	9	dgrp
2L	875619	875405	0.999755601465934	0.820677371574919	2	0.05X	32	NA	NA	9	dgrp
2R	710203	710203	1	0.828121592508304	2	0.05X	32	NA	NA	9	dgrp
3L	864036	863216	0.999050965469031	0.833554466376903	2	0.05X	32	NA	NA	9	dgrp
3R	848436	847404	0.998783644258377	0.83804220677894	2	0.05X	32	NA	NA	9	dgrp
X	494038	0	0	0.83065767709651	2	0.05X	32	NA	NA	9	dgrp
2L	862866	862579	0.999667387520194	0.823094947178534	3	0.05X	32	NA	NA	9	dgrp
2R	699382	699242	0.999799823272546	0.830780678222166	3	0.05X	32	NA	NA	9	dgrp
3L	839427	839417	0.999988087111804	0.837144023928007	3	0.05X	32	NA	NA	9	dgrp
3R	846805	845808	0.998822633309912	0.838441967188456	3	0.05X	32	NA	NA	9	dgrp
X	499236	498457	0.99843961573284	0.830039385714903	3	0.05X	32	NA	NA	9	dgrp
2L	868220	868117	0.999881366473935	0.822359800923117	4	0.05X	32	NA	NA	9	dgrp
2R	705543	705511	0.999954644862184	0.829058123811302	4	0.05X	32	NA	NA	9	dgrp
3L	861147	860998	0.999826974953173	0.833432062719234	4	0.05X	32	NA	NA	9	dgrp
3R	856072	852837	0.996221112242895	0.837505956778405	4	0.05X	32	NA	NA	9	dgrp
X	494904	0	0	0.830747666203983	4	0.05X	32	NA	NA	9	dgrp
2L	846937	846659	0.999671758348024	0.827096211210419	5	0.05X	32	NA	NA	9	dgrp
2R	696402	654470	0.939787651385263	0.833558302672252	5	0.05X	32	NA	NA	9	dgrp
3L	866582	866581	0.999998846041113	0.833207994920258	5	0.05X	32	NA	NA	9	dgrp
3R	856665	856152	0.999401166150129	0.837058274944695	5	0.05X	32	NA	NA	9	dgrp
X	496246	0	0	0.830665346433323	5	0.05X	32	NA	NA	9	dgrp
2L	873711	873698	0.999985120938159	0.821207698046654	6	0.05X	32	NA	NA	9	dgrp
2R	709599	709383	0.999695602727738	0.828955576462701	6	0.05X	32	NA	NA	9	dgrp
3L	863560	863416	0.999833248413544	0.833701311523295	6	0.05X	32	NA	NA	9	dgrp
3R	844935	844782	0.999818920982087	0.838146562817117	6	0.05X	32	NA	NA	9	dgrp
X	492172	0	0	0.831608056155853	6	0.05X	32	NA	NA	9	dgrp
2L	875610	875154	0.999479220200774	0.82068080985563	7	0.05X	32	NA	NA	9	dgrp
2R	713918	713785	0.999813704094868	0.828132256834077	7	0.05X	32	NA	NA	9	dgrp
3L	868567	868534	0.99996200638523	0.833041029228027	7	0.05X	32	NA	NA	9	dgrp
3R	862943	862777	0.999807635034991	0.836528761712403	7	0.05X	32	NA	NA	9	dgrp
X	500810	500597	0.999574689003814	0.829856963317586	7	0.05X	32	NA	NA	9	dgrp
2L	879642	879594	0.999945432346341	0.820274348319474	8	0.05X	32	NA	NA	9	dgrp
2R	715174	715103	0.999900723460305	0.82775890630341	8	0.05X	32	NA	NA	9	dgrp
3L	831468	831153	0.999621151986607	0.836997439244278	8	0.05X	32	NA	NA	9	dgrp
3R	829305	828348	0.998846021668747	0.840265834004574	8	0.05X	32	NA	NA	9	dgrp
X	493907	0	0	0.831908133759909	8	0.05X	32	NA	NA	9	dgrp
2L	866756	866539	0.999749641190831	0.82106853098288	9	0.05X	32	NA	NA	9	dgrp
2R	712475	711718	0.998937506579178	0.828293059929532	9	0.05X	32	NA	NA	9	dgrp
3L	848669	848619	0.999941084215401	0.835648936123623	9	0.05X	32	NA	NA	9	dgrp
3R	829656	829612	0.999946965971439	0.841367376773807	9	0.05X	32	NA	NA	9	dgrp
X	490600	0	0	0.832383711895616	9	0.05X	32	NA	NA	9	dgrp
2L	871191	871150	0.999952937989488	0.821097428323222	10	0.05X	32	NA	NA	9	dgrp
2R	707957	707957	1	0.828389371602005	10	0.05X	32	NA	NA	9	dgrp
3L	857560	857550	0.999988339008349	0.835245665598088	10	0.05X	32	NA	NA	9	dgrp
3R	851467	851442	0.999970638909083	0.83864343643805	10	0.05X	32	NA	NA	9	dgrp
X	487636	487585	0.999895413792255	0.833671610458824	10	0.05X	32	NA	NA	9	dgrp
chr1	64509	63514	0.984575795625417	0.796060951917804	1	0.05X	128	10000	1e-08	1	scrm
chr2	58877	58830	0.999201725631401	0.710535179247162	1	0.05X	128	10000	1e-08	1	scrm
chr3	37859	37402	0.987928894054254	0.814957423162157	1	0.05X	128	10000	1e-08	1	scrm
chr4	53025	52226	0.984931636020745	0.788301407428689	1	0.05X	128	10000	1e-08	1	scrm
chr1	63872	60182	0.942228206412826	0.795987572603092	2	0.05X	128	10000	1e-08	1	scrm
chr2	58833	30699	0.521798990362552	0.71049737524241	2	0.05X	128	10000	1e-08	1	scrm
chr3	37847	37725	0.996776494834465	0.81496121642939	2	0.05X	128	10000	1e-08	1	scrm
chr4	52912	34801	0.657714696099184	0.788336222936713	2	0.05X	128	10000	1e-08	1	scrm
chr5	76106	75944	0.997871389903556	0.90623362846977	2	0.05X	128	10000	1e-08	1	scrm
chr1	64299	60841	0.946220003421515	0.796033258947882	3	0.05X	128	10000	1e-08	1	scrm
chr2	59197	38979	0.6584624220822	0.710590826457567	3	0.05X	128	10000	1e-08	1	scrm
chr3	35026	25479	0.727431051219094	0.814956313911786	3	0.05X	128	10000	1e-08	1	scrm
chr4	52983	48570	0.91670913311817	0.788388281723693	3	0.05X	128	10000	1e-08	1	scrm
chr1	64420	57672	0.895249922384353	0.79604759180779	4	0.05X	128	10000	1e-08	1	scrm
chr2	56531	27312	0.483133148184182	0.710506509590355	4	0.05X	128	10000	1e-08	1	scrm
chr3	37902	37523	0.99000052767664	0.814957947675914	4	0.05X	128	10000	1e-08	1	scrm
chr4	53076	49737	0.937090210264526	0.788302423941612	4	0.05X	128	10000	1e-08	1	scrm
chr5	77771	77454	0.995923930513945	0.9062450062787	4	0.05X	128	10000	1e-08	1	scrm
chr1	64436	54097	0.83954621640077	0.796055659197571	5	0.05X	128	10000	1e-08	1	scrm
chr2	57758	27924	0.483465493957547	0.710731561562292	5	0.05X	128	10000	1e-08	1	scrm
chr3	37847	36922	0.975559489523608	0.814943443066719	5	0.05X	128	10000	1e-08	1	scrm
chr4	53092	49652	0.935206810818956	0.788284352340704	5	0.05X	128	10000	1e-08	1	scrm
chr1	64264	58569	0.911381177642226	0.796032582067781	6	0.05X	128	10000	1e-08	1	scrm
chr2	59269	48688	0.821474970051798	0.710460565075255	6	0.05X	128	10000	1e-08	1	scrm
chr3	37131	37131	1	0.81480801687564	6	0.05X	128	10000	1e-08	1	scrm
chr4	53057	49422	0.931488776221799	0.788296726611533	6	0.05X	128	10000	1e-08	1	scrm
chr1	64460	64261	0.996912814148309	0.796052461790439	7	0.05X	128	10000	1e-08	1	scrm
chr2	59310	49518	0.834901365705615	0.710511337534973	7	0.05X	128	10000	1e-08	1	scrm
chr3	37850	37725	0.99669749009247	0.814976384151565	7	0.05X	128	10000	1e-08	1	scrm
chr4	53076	49554	0.933642324214334	0.788323936200787	7	0.05X	128	10000	1e-08	1	scrm
chr5	77909	73203	0.939596195561488	0.906256926180755	7	0.05X	128	10000	1e-08	1	scrm
chr1	64496	62616	0.970850905482511	0.796068825103071	8	0.05X	128	10000	1e-08	1	scrm
chr2	59491	59416	0.998739305104974	0.710557970099994	8	0.05X	128	10000	1e-08	1	scrm
chr3	37891	37538	0.990683803541738	0.814967308055508	8	0.05X	128	10000	1e-08	1	scrm
chr4	53019	44351	0.836511439295347	0.788367657702899	8	0.05X	128	10000	1e-08	1	scrm
chr1	64521	63704	0.98733745602207	0.796068447857577	9	0.05X	128	10000	1e-08	1	scrm
chr2	59491	58474	0.982904977223446	0.710574287932274	9	0.05X	128	10000	1e-08	1	scrm
chr3	37813	32823	0.868034802845582	0.814965192092501	9	0.05X	128	10000	1e-08	1	scrm
chr4	52988	49401	0.932305427643995	0.788286244958322	9	0.05X	128	10000	1e-08	1	scrm
chr5	77872	75494	0.969462708033696	0.906244097290917	9	0.05X	128	10000	1e-08	1	scrm
chr1	64414	62799	0.974927810724377	0.796091585049446	10	0.05X	128	10000	1e-08	1	scrm
chr2	59405	51316	0.863833010689336	0.710592345446511	10	0.05X	128	10000	1e-08	1	scrm
chr3	37670	31881	0.846323334218211	0.814962365920328	10	0.05X	128	10000	1e-08	1	scrm
chr4	53034	52749	0.994626088924086	0.788330816982531	10	0.05X	128	10000	1e-08	1	scrm
chr5	74500	60323	0.809704697986577	0.906288041697253	10	0.05X	128	10000	1e-08	1	scrm
chr1	46752	44417	0.950055612594114	0.836948631072518	1	0.05X	128	10000	1e-08	10	scrm
chr2	61646	60654	0.983908120559323	0.693704734618832	1	0.05X	128	10000	1e-08	10	scrm
chr3	51329	48134	0.937754485768279	0.821923068767701	1	0.05X	128	10000	1e-08	10	scrm
chr4	54770	52697	0.962150812488589	0.857728814861081	1	0.05X	128	10000	1e-08	10	scrm
chr1	45819	41286	0.901067242846854	0.836931013379838	2	0.05X	128	10000	1e-08	10	scrm
chr2	64950	40851	0.628960739030023	0.693791820593666	2	0.05X	128	10000	1e-08	10	scrm
chr3	50895	49169	0.966087041949111	0.821995817110058	2	0.05X	128	10000	1e-08	10	scrm
chr4	54797	54299	0.990911911236017	0.857718078790382	2	0.05X	128	10000	1e-08	10	scrm
chr1	46873	45311	0.966675911505558	0.83696102804553	3	0.05X	128	10000	1e-08	10	scrm
chr2	64810	64414	0.993889831816078	0.693833361347412	3	0.05X	128	10000	1e-08	10	scrm
chr3	51242	50398	0.983529136255415	0.821902466892317	3	0.05X	128	10000	1e-08	10	scrm
chr4	54779	54442	0.99384800744811	0.857722191723647	3	0.05X	128	10000	1e-08	10	scrm
chr5	45342	44704	0.98592916060165	0.863397525324461	3	0.05X	128	10000	1e-08	10	scrm
chr1	46822	43832	0.936141130237922	0.836949824288829	4	0.05X	128	10000	1e-08	10	scrm
chr2	65022	63957	0.98362092830119	0.693867791036712	4	0.05X	128	10000	1e-08	10	scrm
chr3	51210	47035	0.918472954501074	0.821901172056163	4	0.05X	128	10000	1e-08	10	scrm
chr4	49345	46286	0.938007903536326	0.858209219238826	4	0.05X	128	10000	1e-08	10	scrm
chr5	45023	36154	0.80301179397197	0.863374130587595	4	0.05X	128	10000	1e-08	10	scrm
chr1	46610	45806	0.982750482729028	0.837045587303556	5	0.05X	128	10000	1e-08	10	scrm
chr2	65065	38926	0.598263275186352	0.693856772359251	5	0.05X	128	10000	1e-08	10	scrm
chr3	51285	50510	0.984888368918787	0.821918364297324	5	0.05X	128	10000	1e-08	10	scrm
chr4	54687	50802	0.92895935048549	0.857692073898961	5	0.05X	128	10000	1e-08	10	scrm
chr1	45923	42365	0.922522483287242	0.837141807643705	6	0.05X	128	10000	1e-08	10	scrm
chr2	65061	60179	0.9249627272867	0.69386924431375	6	0.05X	128	10000	1e-08	10	scrm
chr3	50980	50955	0.999509611612397	0.821993775515521	6	0.05X	128	10000	1e-08	10	scrm
chr4	53790	46674	0.867707752370329	0.857574226874405	6	0.05X	128	10000	1e-08	10	scrm
chr5	45156	42351	0.937882009035344	0.863393628974243	6	0.05X	128	10000	1e-08	10	scrm
chr1	46820	43033	0.91911576249466	0.836935649026107	7	0.05X	128	10000	1e-08	10	scrm
chr2	65068	59636	0.91651810413721	0.693868288023863	7	0.05X	128	10000	1e-08	10	scrm
chr3	51287	50896	0.992376235693256	0.821944979489655	7	0.05X	128	10000	1e-08	10	scrm
chr4	54675	54628	0.999140374942844	0.857727785324146	7	0.05X	128	10000	1e-08	10	scrm
chr1	46391	33036	0.712120885516587	0.837076890892849	8	0.05X	128	10000	1e-08	10	scrm
chr2	65087	58164	0.893634673590732	0.69384849647155	8	0.05X	128	10000	1e-08	10	scrm
chr3	51201	36957	0.721802308548661	0.821924093479696	8	0.05X	128	10000	1e-08	10	scrm
chr4	54799	52544	0.958849614044052	0.857723448750277	8	0.05X	128	10000	1e-08	10	scrm
chr5	43401	42011	0.967973088177692	0.863449983005054	8	0.05X	128	10000	1e-08	10	scrm
chr1	46857	42888	0.915295473461809	0.83697353846377	9	0.05X	128	10000	1e-08	10	scrm
chr2	64592	63723	0.986546321525886	0.693826377288463	9	0.05X	128	10000	1e-08	10	scrm
chr3	51258	49900	0.97350657458348	0.821950442206125	9	0.05X	128	10000	1e-08	10	scrm
chr4	54827	52414	0.955988837616503	0.857720339107129	9	0.05X	128	10000	1e-08	10	scrm
chr1	46872	46872	1	0.836966048900046	10	0.05X	128	10000	1e-08	10	scrm
chr2	65064	60706	0.933019795893274	0.693889450472864	10	0.05X	128	10000	1e-08	10	scrm
chr3	51018	40886	0.801403426241719	0.821915524051407	10	0.05X	128	10000	1e-08	10	scrm
chr4	52430	51697	0.986019454510776	0.857739704837104	10	0.05X	128	10000	1e-08	10	scrm
chr1	49912	49577	0.993288187209489	0.903435232777266	1	0.05X	128	10000	1e-08	2	scrm
chr2	48153	47039	0.976865408178099	0.890748213620517	1	0.05X	128	10000	1e-08	2	scrm
